=== MeshGhost Crystal object-slot probe (READ-ONLY) ===
Logging to ./object_slot_probe_20260817_235644.log
13 slots of 40 bytes at flat 0x14D6 (01:d4d6). Slot 0 is the player.
Walk around, pass NPCs, and enter/leave a building.
--- map changed -> group=0/0 ---
slots [.............]  0 used, 13 free
  [alive] map=0/0 slots [.............] 0 used   player x=0 y=0
  [alive] map=0/0 slots [.............] 0 used   player x=0 y=0
  [alive] map=0/0 slots [.............] 0 used   player x=0 y=0
  [alive] map=0/0 slots [.............] 0 used   player x=0 y=0
  [alive] map=0/0 slots [.............] 0 used   player x=0 y=0
  [alive] map=0/0 slots [.............] 0 used   player x=0 y=0
  [alive] map=0/0 slots [.............] 0 used   player x=0 y=0
  [alive] map=0/0 slots [.............] 0 used   player x=0 y=0
  [alive] map=0/0 slots [.............] 0 used   player x=0 y=0
  [alive] map=0/0 slots [.............] 0 used   player x=0 y=0
  [alive] map=0/0 slots [.............] 0 used   player x=0 y=0
  [alive] map=0/0 slots [.............] 0 used   player x=0 y=0
*** SPAWNED: slot 0 at frame 3655 ***
    raw: 01 00 00 0B 02 00 01 00 00 00 00 01 00 FF 00 00 04 04 00 00 04 04 00 40 40 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
    sprite=1 mapobj=0 pal=1 dir=0 x=4 y=4
--- map changed -> group=24/7 ---
slots [X............]  1 used, 12 free
  slot  0: sprite=  1 mapobj=  0 pal=  1 dir=0 x=  4 y=  4   <- player
  [alive] map=24/7 slots [X............] 1 used   player x=7 y=7
  [alive] map=24/7 slots [X............] 1 used   player x=7 y=7
  [alive] map=24/7 slots [X............] 1 used   player x=7 y=7
  [alive] map=24/7 slots [X............] 1 used   player x=7 y=7
  [alive] map=24/7 slots [X............] 1 used   player x=7 y=7
  [alive] map=24/7 slots [X............] 1 used   player x=7 y=7
  [alive] map=24/7 slots [X............] 1 used   player x=7 y=7
  [alive] map=24/7 slots [X............] 1 used   player x=7 y=7
  [alive] map=24/7 slots [X............] 1 used   player x=7 y=7
  [alive] map=24/7 slots [X............] 1 used   player x=7 y=7
  [alive] map=24/7 slots [X............] 1 used   player x=7 y=7
  [alive] map=24/7 slots [X............] 1 used   player x=7 y=7
  [alive] map=24/7 slots [X............] 1 used   player x=7 y=7
  [alive] map=24/7 slots [X............] 1 used   player x=7 y=7
  [alive] map=24/7 slots [X............] 1 used   player x=7 y=7
  [alive] map=24/7 slots [X............] 1 used   player x=7 y=7
  [alive] map=24/7 slots [X............] 1 used   player x=7 y=7
  [alive] map=24/7 slots [X............] 1 used   player x=7 y=7
  [alive] map=24/7 slots [X............] 1 used   player x=7 y=7
  [alive] map=24/7 slots [X............] 1 used   player x=7 y=7
  [alive] map=24/7 slots [X............] 1 used   player x=7 y=7
  [alive] map=24/7 slots [X............] 1 used   player x=7 y=7
  [alive] map=24/7 slots [X............] 1 used   player x=7 y=7
  [alive] map=24/7 slots [X............] 1 used   player x=7 y=7
  [alive] map=24/7 slots [X............] 1 used   player x=7 y=7
  [alive] map=24/7 slots [X............] 1 used   player x=7 y=7
  [alive] map=24/7 slots [X............] 1 used   player x=7 y=7
  [alive] map=24/7 slots [X............] 1 used   player x=7 y=7
  [alive] map=24/7 slots [X............] 1 used   player x=7 y=7
  [alive] map=24/7 slots [X............] 1 used   player x=7 y=7
  [alive] map=24/7 slots [X............] 1 used   player x=7 y=7
  [alive] map=24/7 slots [X............] 1 used   player x=7 y=7
  [alive] map=24/7 slots [X............] 1 used   player x=7 y=7
  [alive] map=24/7 slots [X............] 1 used   player x=7 y=7
  [alive] map=24/7 slots [X............] 1 used   player x=7 y=7
  [alive] map=24/7 slots [X............] 1 used   player x=7 y=7
  [alive] map=24/7 slots [X............] 1 used   player x=7 y=7
  [alive] map=24/7 slots [X............] 1 used   player x=7 y=7
  [alive] map=24/7 slots [X............] 1 used   player x=7 y=7
  [alive] map=24/7 slots [X............] 1 used   player x=7 y=7
  [alive] map=24/7 slots [X............] 1 used   player x=7 y=7
  [alive] map=24/7 slots [X............] 1 used   player x=7 y=7
  [alive] map=24/7 slots [X............] 1 used   player x=7 y=7
  [alive] map=24/7 slots [X............] 1 used   player x=7 y=7
  [alive] map=24/7 slots [X............] 1 used   player x=7 y=7
  [alive] map=24/7 slots [X............] 1 used   player x=7 y=7
  [alive] map=24/7 slots [X............] 1 used   player x=7 y=7
  [alive] map=24/7 slots [X............] 1 used   player x=7 y=7
  [alive] map=24/7 slots [X............] 1 used   player x=7 y=7
  [alive] map=24/7 slots [X............] 1 used   player x=7 y=7
